Srl.,Product / Equipment,Agency Name / Address
1,"DG Synchronization,",SGS Industrial Controls & Solutions Pvt. Ltd.
,Automation and capacitors,"Floor-II, MadanpurKhadar, SaritaVihar,"
,,"New Delhi Tel. 011-29942516, 41402992"
2,Eco-Ventilators,Nu Plast Pipes &profilies
,,"SCF – 124, Sector – 17 Market,"
,,Faridabad - 121002
,,"Tel. 0129-6456217, 4070023"
3,Electrical measurement,Riken Instrument Ltd.
,Instrument,"369, Industrial Area, Phase –II,"
,,"Panchkula Haryana Tel. : 0172-2591651, 2592028"
,,www.rikeninstrumentation.com
4,Energy Management & Control,Manaco Energy Solutions (P) Ltd.
,System,"A-6, Shanti Apts. 21 & 22,1st Cross St.TTKRoad,"
,,"Alwarpet Chennai-18, Tel. 044-42316164"
,,www.mesco.co.in
5,Energy Saving Products,Gautam Enterprises
,,"205, VinayIndl. Est."
,,"ChicholiBunder Link Road,"
,,"Malad(W) Mumbai – 6, India"
4,Energy Saving Products,Techmark Engineers & Consultants
,,"K-1/28, Ground Floor, Chittaranjan Park,"
,,New Delhi – 110019Tel. 011-26238349
5,Flue Gas Analyzer/ Oxygen,Nevco Engineers Pvt. Ltd.
,Analyzer,"90A, (2nd Floor) Amritpuri B, main Road,"
,,"East of kailash, Opp. Iskcon Temple,"
,,New Delhi – 110 065
,,"Tel. 26226328, 26213009 www.nevco.co.in"
