,,"E-121 Ansa Industrial Estate,"
,,"Saki Vihar Road, Mumbai 400072"
,,"Tel.: 022-28471882, 28476443 www.selecindia.com"
17,"Building Automation, sensors,",Electro Art
,twilight Switches,"Plot No. K-11, MIDC Area, Ambad, Nasik – 422010"
,,"Tel. 0253-5603954, 2380918,"
,,www.electronicswitchesindia.com
18,Burners,Wesman Engineering (P) Ltd.
,,"503-504 Eros Apartments, 56, Nehru Place,"
,,New Delhi – 110019
,,"Tel. : 26431723, 26434577"
19,"Burners, Furnace RecuperatorsHo",Er NCON
,"air Generation, Heating &","12/3, Mathura Road,"
,Pumping unit Laddle pre-heating,F aridabad – 121003
,,Tel. : 0129-25275454 www.encon.co.in
20,Capacitors,Asian Electronics Ltd.
,,"Plot No. 68, MIDC, Satpur,"
,,Nasik – 422 007
21,Capacitors,Shreem Capacitors Pvt. Ltd.
,,"/39, VikramVihar, Lajpat Nagar-IV,"
,,New Delhi – 110024
22,Capacitors & APFC Panels,Matrix Controls & Engineers Pvt. Ltd.
,,"E-725, DSIDC Industrial Complex, Narela, GT Road, Delhi"
,,– 011-27786945 / 46 / 47
,,"Rajeev Batra 9811624440, Rajeev@matrixcapacitor.com"
23,Capacitors & APFC Panels,Standard Capacitors
,,"B-70/43, DSIDC Complex, Lawrence Road, Industrial"
,,"Area,, Delhi – 110035Tel: 011-27181490, 27151027"
,,www.standardcapacitors.com
24,Capacitors & APFC Panels,Saif Electronics
,,"174, Hira Building, 1st Floor, Carnac Road, Opposite Police"
,,Commissioner Officer Mumbai
,,"Tel. 022-22064626, 22086613 www.saifel.com"
