,,,,,,,,,,,
,Sr.,,,Billing,,,Total electricity,,,Total electricity,
,No.,,,Month,,,consumed (kWh),,,consumption (kVAh),
,,,,,,,,,,,
,1,,,Apr 24,,449730,,,455250,,
,2,,,May 24,,562770,,,570930,,
,3,,,Jun 24,,482790,,,488070,,
,4,,,Jul 24,,492360,,,499050,,
,5,,,Aug 24,,579960,,,593460,,
,6,,,Sept 24,,526800,,,535590,,
,7,,,Oct 24,,408450,,,413730,,
,8,,,Nov-24,,217560,,,217650,,
,9,,,Dec 24,,176640,,,176580,,
,10,,,Jan 25,,178710,,,178740,,
,11,,,Feb 25,,166980,,,166980,,
,12,,,Mar 25,,,220860,,,221640,
,,,,Total,,,4463610.00,,,4517670.00,
