,,,,,,,,,,,,,,
,Sr.,,,,,,D.G. Units,,,HSD,,,,
,,,,Month,,,,,,,,,kWh/Ltr,
,No.,,,,,,Generated,,,Consumption,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,1,,,24-Apr,,19008,,,5445,,,3.49,,
,2,,,24-May,,24387,,,6972,,,3.50,,
,3,,,24-Jun,,8393,,,2400,,,3.50,,
,4,,,24-Jul,,30323,,,8675,,,3.50,,
,5,,,24-Aug,,17621,,,5052,,,3.49,,
,6,,,24-Sep,,23359,,,6690,,,3.49,,
,7,,,24-Oct,,7844,,,2250,,,3.49,,
,8,,,24-Nov,,4345,,,1245,,,3.49,,
,9,,,24-Dec,,7101,,,2035,,,3.49,,
,10,,,25-Jan,,6959,,,1995,,,3.49,,
,11,,,25-Feb,,3188,,,915,,,3.48,,
,12,,,25-Mar,,17689,,,5070,,,3.49,,
,,,,Total,,,170217,,,48744,,3.49,,
