S.,Proposed energy,Quantity,Total annual,Total,Anticipated,Simple
No.,conservation measures,(nos.),energy,annual,investment,payback
,,,savings,monetary,(INR) Lakh,period
,,,(kWh),savings,,(Years )
,,,,(INR) Lakh,,
,Replacement of Standard,,,,,
,ceiling fans (70W) with BLDC,,,,,
,high energy efficient fans,,,,,
,(27W),2564,129000,10.32,53.84,62
1,,,,,,
,Replacement of defective,,,,,
,capacitors to maintain power,,,,,
2,factor at the level of 0.999,-,49591 KVAh,3.29,0.50,02
,To maintain Solar CUF at the,,,,,
3,level of 19%,-,48190,3.85,--,Immediate
