,Assumptions and Input parameters,,,,,,,
,Cost parameters,,,Unit,,,Value,
Existing T8 (18WX4) 2'X2' need to be replaced,,,Number,,,310,,
Cost of LED based light (36 W),,,INR/ piece,,,2800,,
Installation Cost,,,% of capital cost,,,5,,
,Operating parameters,,,Unit,,,Value,
Number of running hours,,,Per day,,,6,,
Number of operating days,,,Per year,,,250,,
Average life of LED based Light (36 W),,,Hours,,,"50,000",,
Average life of LED based Light (36 W),,,Years,,,8,,
Average electricity tariff,,,INR/kVAh,,,8,,
,Energy and financial savings,,,Unit,,,Value,
,Power consumption of T8 (18WX4) 2'X2' tube lights,,,W/piece,,,80,
,Power consumption of LED Light 36W 2'X2',,,W/piece,,,36,
,Energy savings,,,W/piece,,,44,
,Annual energy saving,,,kWh/year,,,20460,
,Annual monetary saving,,,INR/year,,,163680,
,Total investment requirement,,,INR,,,911400,
,Simple payback period,,,Months,,,67,
,Internal rate of return,,,%,,,9.84%,
