,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,S.S-2,,,,,,,,,,,,,,,S.S-1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Name Plate D,a,t,a Uni,t,,DG-1,,,DG-2,,,DG-3,,,DG-4,,,DG-5,,,DG-1,,,DG-2,,,DG-3,
Rated,,,kVA,,,750,,,750,,,750,,,750,,,750,,,500,,,500,,,750,,
Rated,,,kW,,,600,,,600,,,600,,,600,,,600,,,400,,,400,,,600,,
Voltage,,,V,,,415,,,415,,,415,,,415,,,415,,,415,,,415,,,415,,
Amp.,,,I,,,1043,,,1043,,,1043,,,1043,,,1043,,,696,,,696,,,1043,,
Phase,,,,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,
P.F,,,,,,0.8,,,0.8,,,0.8,,,0.8,,,0.8,,,0.8,,,0.8,,,0.8,,
RPM,,,,,,1500,,,1500,,,1500,,,1500,,,1500,,,1500,,,1500,,,1500,,
Frequency,,,HZ,,,50,,,50,,,50,,,50,,,50,,,50,,,50,,,50,,
Excitation,,,Volts,,,52,,,52,,,52,,,52,,,52,,,48,,,48,,,52,,
Excitation,,,Amp,,,s 2.5,,,2.5,,,2.5,,,2.5,,,2.5,,,2.3,,,2.3,,,2.5,,
