,,,,,,,,,,,,,,
,,,,,,,D.G. Units,,,HSD,,,,
,Sr. No.,,,Month,,,,,,,,,kWh/Ltr,
,,,,,,,Generated,,,Consumption,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,19008,,,5445,,,3.49,,
,1,,,24-Apr,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,24387,,,6972,,,3.50,,
,2,,,24-May,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,8393,,,2400,,,3.50,,
,3,,,24-Jun,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,30323,,,8675,,,3.50,,
,4,,,24-Jul,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,17621,,,5052,,,3.49,,
,5,,,24-Aug,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,23359,,,6690,,,3.49,,
,6,,,24-Sep,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,7844,,,2250,,,3.49,,
,7,,,24-Oct,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,4345,,,1245,,,3.49,,
,8,,,24-Nov,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,7101,,,2035,,,3.49,,
,9,,,24-Dec,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,6959,,,1995,,,3.49,,
,10,,,25-Jan,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,3188,,,915,,,3.48,,
,11,,,25-Feb,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,17689,,,5070,,,3.49,,
,12,,,25-Mar,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,3.49,,
,,,,Total,,,170217,,,48744,,,,
,,,,,,,,,,,,,,
