,,,,,,,,,,,,,,,,,,,,,,,,
"0
0 6
7 9",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,"0
6
9",,,,,,,,,,,,,,,
,,,"0
7",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
0,,,"7
2
6
5",,"0
9",,"0
6
3",,"9
7
5",,"0
0
8
6",,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,
,"3
7
9
4",,,,"7
2
8
4",,"2
9
4",,,,"2
5",,"0
5
4",,,,,,,,,,,
,4,,,,,,,,,,,,"8
0
4",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"0
6
5
7","0 0 0
4 1 8
6 7 9",,,,,,,"0
6
8
0",
,,,,,,,,,,,,,,,,,"0
4
6",,"0
1
7",,"0
8
9",,,
,,,,,,,,,,,,,,,"1
2",,"6
7
1",,"8
7
1",,"6
6
1",,"2
2",
