,Srl.,,,Location,,,LUX,
1,,,Electrical Workshop,,,220,,
2,,,Fitter Workshop,,,170,,
3,,,PPO Workshop,,,130,,
4,,,Foundry man,,,230,,
5,,,Plumber NCV - 1,,,130,,
6,,,Footware,,,160,,
7,,,Wireman,,,170,,
8,,,Steno,,,210,,
9,,,Elect. Theory,,,220,,
10,,,Copa Theory,,,300,,
11,,,Painter,,,170,,
12,,,Copa SCVT,,,166,,
13,,,Draughtman,,,200,,
14,,,T.P.E.S,,,160,,
15,,,C.H.N.M,,,150,,
16,,,Electronics,,,200,,
17,,,Hotel Management,,,230,,
18,,,Machinest,,,270,,
19,,,Machinest,,,210,,
20,,,T / M,,,190,,
