,APFC PANEL-2 (Sub station-1),,,,,,,,,,,,,,,,,,
,,,,,,,,,Measured,,,,,,,,,,
,,,,,,Rated,,,,,,,,,,,,,
,"Sr.
No.",,Capacity,,,Current,,,Measured-,,,Measured-,,,Measured-,,,,
,,,(kVAr),,,(amp),,,R,,,Y,,,B,,,Remark,
CB-1,,25,,,,32.8,,,14.00,,,23.80,,,24.20,,,OK,
CB-2,,25,,,,32.8,,,28.00,,,28.10,,,27.90,,,OK,
CB-3,,25,,,,32.8,,,24.30,,,25.70,,,25.30,,,OK,
CB-4,,25,,,,32.8,,,27.30,,,26.80,,,27.10,,,OK,
CB-5,,15,,,,19.7,,,0.00,,,0.00,,,0.00,,,Not working,
CB-6,,10,,,,13.1,,,9.10,,,9.00,,,8.90,,,De-rated,
Total,,125,,,,,,,,,,,,,,,,,
