AC,Air Conditioning
APFC,Automatic Power Factor Control
CFL,Compact Fluorescent Lamp
CFM,Cubic Feet per Minute
CoP,Coefficient of Performance
"CO
2",Carbon Dioxide
CT,Cooling Tower
CW,Cooling Water
DG,Diesel Generator
EE,Energy Efficient
EER,Energy Efficiency Ratio
ENCON,Energy Conservation Measures
EPI,Energy Performance Index
FRP,Fibre Reinforced Plastic
FTL,Fluorescent Tube Light
HP,Horse Power
HPSV,High Pressure Sodium Vapour
HT,High Tension
HVAC,"Heating, Ventilation and Air conditioning"
ID,Induced Draft
IEEE,Institute of Electrical and Electronics Engineers
INR,Indian Rupees
IRR,Internal Rate of Return
kVA,Kilovolt Ampere
kVAh,Kilovolt Ampere Hour
kVAR,Kilovolt Ampere Reactive
kWh,Kilowatt Hour
LED,Light Emitting Diode
LT,Low Tension
MH,Metal Halide
Mkcal,Million Kilo Calories
PF,Power Factor
THD,Total Harmonic Distortion
TR,Ton of refrigeration
TRh,Ton of refrigeration in one hour
TOD,Time of Day
VFD,Variable Frequency Drive
WBT,Wet Bulb Temperature
